Gender,Income,Education,Dependents,Marital Status,Employment Status,Mortgage,Resident,Credit,Risk Status
Male,28000,Others,0,Divorced,Retired,Yes,Semi-urban,No,4
Female,42000,Bachelor,2,Separated,Self-employed,No,Urban,No,3
Male,52000,Bachelor,0,Divorced,Others,Yes,Urban,No,3
Male,64000,Master,1,Single,Others,Yes,Urban,No,3
Female,126000,Master,1,Divorced,Self-employed,No,Urban,Yes,2
Female,49000,Doctorate,2,Separated,Others,Yes,Urban,No,3
Male,93000,Master,1,Single,Others,Yes,Semi-urban,Yes,3
Female,112000,Bachelor,0,Divorced,Self-employed,Yes,Rural,Yes,2
Male,55000,Bachelor,0,Married,Employed,Yes,Semi-urban,No,2
Male,44000,Others,0,Widowed,Others,Yes,Semi-urban,Yes,4
Male,62000,Others,0,Single,Employed,Yes,Semi-urban,Yes,3
Female,25000,Bachelor,1,Single,Self-employed,Yes,Semi-urban,Yes,3
Female,33000,Doctorate,0,Separated,Employed,No,Rural,Yes,2
Male,30000,Others,1,Widowed,Part-time,No,Semi-urban,No,4
Male,27000,Bachelor,1,Single,Part-time,No,Semi-urban,Yes,4
Female,36000,Others,1,Single,Part-time,Yes,Semi-urban,Yes,4
Male,37000,Doctorate,2,Divorced,Others,Yes,Semi-urban,Yes,3
Male,96000,Doctorate,2,Widowed,Others,No,Semi-urban,No,3
Male,138000,Doctorate,0,Married,Employed,No,Urban,Yes,2
Male,60000,Bachelor,1,Separated,Employed,Yes,Urban,No,2
Male,44000,Bachelor,0,Widowed,Part-time,Yes,Urban,Yes,3
Female,20000,Others,1,Widowed,Self-employed,Yes,Semi-urban,Yes,3
Female,17000,Bachelor,2,Married,Others,Yes,Urban,Yes,4
Male,133000,Master,1,Widowed,Self-employed,Yes,Semi-urban,No,2
Female,17000,Bachelor,1,Separated,Employed,Yes,Rural,No,3
Male,116000,Master,0,Married,Self-employed,No,Urban,Yes,2
Female,87000,Doctorate,1,Widowed,Employed,Yes,Urban,Yes,2
Female,16000,Bachelor,0,Separated,Self-employed,No,Urban,No,3
Female,16000,Bachelor,1,Divorced,Employed,No,Rural,No,4
Female,110000,Doctorate,1,Divorced,Employed,Yes,Urban,Yes,2
Female,57000,Doctorate,1,Widowed,Part-time,Yes,Urban,Yes,2
Male,44000,Doctorate,1,Married,Self-employed,Yes,Urban,No,2
Male,31000,Others,2,Widowed,Self-employed,No,Semi-urban,No,4
Male,69000,Doctorate,1,Single,Self-employed,Yes,Urban,Yes,2
Male,17000,Bachelor,4,Single,Self-employed,Yes,Rural,Yes,4
Female,43000,Master,0,Single,Others,Yes,Rural,Yes,3
Female,50000,Master,1,Divorced,Part-time,No,Semi-urban,Yes,3
Female,117000,Doctorate,0,Divorced,Self-employed,Yes,Urban,Yes,1
Female,36000,Bachelor,0,Single,Unemployed,No,Urban,No,4
Female,45000,Bachelor,1,Separated,Employed,Yes,Urban,No,2
Male,29000,Others,1,Married,Employed,Yes,Urban,Yes,3
Female,36000,Others,0,Married,Others,Yes,Rural,No,3
Male,22000,Master,1,Widowed,Others,Yes,Semi-urban,Yes,3
Female,35000,Bachelor,2,Married,Self-employed,No,Semi-urban,Yes,4
Female,43000,Bachelor,1,Divorced,Part-time,Yes,Semi-urban,Yes,3
Male,51000,Master,3,Married,Others,Yes,Urban,No,3
Male,80000,Bachelor,0,Divorced,Others,Yes,Urban,Yes,2
Male,49000,Bachelor,2,Married,Others,Yes,Rural,No,4
Female,30000,Bachelor,4,Widowed,Retired,Yes,Urban,Yes,4
Female,88000,Bachelor,1,Widowed,Self-employed,No,Semi-urban,Yes,3
Male,29000,Master,1,Single,Unemployed,Yes,Semi-urban,Yes,3
Female,70000,Bachelor,1,Single,Others,Yes,Urban,No,3
Male,28000,Master,1,Widowed,Part-time,Yes,Urban,Yes,3
Female,83000,Doctorate,0,Widowed,Employed,No,Urban,No,2
Female,88000,Bachelor,0,Widowed,Self-employed,Yes,Urban,No,2
Male,41000,Bachelor,2,Widowed,Employed,Yes,Urban,Yes,3
Female,68000,Doctorate,1,Married,Part-time,Yes,Rural,No,2
Male,52000,Doctorate,3,Married,Part-time,Yes,Rural,Yes,3
Female,31000,Bachelor,0,Divorced,Employed,Yes,Urban,No,2
Male,69000,Doctorate,2,Widowed,Part-time,No,Semi-urban,Yes,3
Male,46000,Bachelor,1,Married,Others,Yes,Urban,No,3
Male,77000,Doctorate,1,Single,Others,Yes,Urban,Yes,2
Male,35000,Bachelor,0,Single,Part-time,Yes,Semi-urban,Yes,3
Male,76000,Bachelor,1,Divorced,Employed,Yes,Urban,Yes,2
Female,63000,Master,2,Separated,Self-employed,Yes,Urban,Yes,2
Female,90000,Master,0,Widowed,Self-employed,Yes,Urban,No,2
Male,21000,Master,0,Divorced,Part-time,No,Urban,No,3
Female,44000,Bachelor,2,Single,Self-employed,Yes,Semi-urban,Yes,3
Male,89000,Bachelor,1,Widowed,Employed,Yes,Urban,Yes,2
Male,15000,Master,0,Separated,Self-employed,Yes,Rural,No,2
Female,30000,Bachelor,1,Widowed,Employed,Yes,Urban,No,3
Female,47000,Doctorate,0,Separated,Part-time,No,Semi-urban,No,3
Male,23000,Master,0,Widowed,Others,Yes,Semi-urban,Yes,3
Female,22000,Others,2,Single,Others,Yes,Urban,No,4
Female,99000,Doctorate,1,Widowed,Part-time,Yes,Urban,Yes,2
Female,30000,Master,2,Single,Retired,Yes,Rural,No,4
Male,24000,Doctorate,1,Single,Part-time,Yes,Semi-urban,No,3
Female,49000,Doctorate,0,Divorced,Self-employed,Yes,Semi-urban,Yes,2
Male,40000,Others,2,Single,Others,Yes,Semi-urban,No,4
Male,76000,Doctorate,0,Single,Employed,No,Semi-urban,No,2
Male,42000,Others,2,Single,Employed,Yes,Semi-urban,Yes,4
Male,22000,Master,0,Separated,Part-time,Yes,Rural,Yes,2
Female,31000,Master,1,Divorced,Unemployed,No,Semi-urban,Yes,4
Female,47000,Master,1,Single,Part-time,Yes,Rural,No,3
Female,22000,Bachelor,2,Divorced,Others,Yes,Urban,Yes,4
Female,43000,Bachelor,1,Single,Employed,No,Urban,No,3
Male,58000,Master,1,Divorced,Part-time,Yes,Urban,Yes,2
Male,16000,Others,3,Widowed,Part-time,Yes,Rural,Yes,4
Female,28000,Bachelor,1,Divorced,Retired,No,Urban,No,4
